23015;3848;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
21329;-2900;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
16452;-5774;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
22479;3949;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
16395;-5889;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
21327;4111;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
14728;4920;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
22333;-807;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
25597;2976;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
18554;-5278;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
15494;-7113;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
19566;-9586;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
20961;-10847;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
19295;2672;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
26008;-3677;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
21794;-751;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
16120;3829;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
23919;-3959;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
19996;2268;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
18303;1916;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
25995;-5757;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
12563;-4161;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
17325;-10710;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
20432;-1367;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
20620;-10021;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
15159;-2156;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
23180;-2967;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
24748;-10956;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
18370;4561;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
19868;-4437;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
24619;-9494;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
28131;-3365;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
17131;-1144;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
12985;-5569;20278.35;-3320.09;24603.50;-13350.00;27005;-15923
-12171;-5700;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-18432;-1280;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-18908;-6354;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-6306;52;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-18044;-1778;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-6745;-7104;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-11479;1237;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-12083;-4708;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-19136;-525;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-13693;840;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-8414;5468;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-17646;-3673;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-8349;2578;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-6918;-3799;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-11821;-1217;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-16445;-83;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-18358;-8581;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-14489;-10178;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-17639;-7894;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-11843;-7942;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-16767;3514;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
-17363;-8646;-13760.08;-2628.92;-13201.47;7350.59;-14896;9382
